date currency_code rate
2020-05-12 CAD 52,9248
2020-05-12 KGS 93,5934
2020-05-12 CNY 10,4346
2020-05-12 MDL 41,4316
2020-05-12 NOK 72,0237
2020-05-12 PLN 17,5598
2020-05-12 RON 16,5652
2020-05-12 XDR 100,5442
2020-05-12 SGD 52,2547
2020-05-12 TJS 71,9654
2020-05-12 TRY 10,3937
2020-05-12 TMT 21,1366
2020-05-12 UZS 72,8238
2020-05-12 UAH 27,5448
2020-05-12 CZK 29,3424
2020-05-12 SEK 75,3724
2020-05-12 CHF 75,9380
2020-05-12 ZAR 39,9535
2020-05-12 KRW 60,5314
2020-05-12 JPY 69,4813
2020-05-13 AUD 47,6504
2020-05-13 AZN 43,2848
2020-05-13 GBP 90,5571
2020-05-13 AMD 15,0569
2020-05-13 BYN 30,1175
2020-05-13 BGN 40,6311
2020-05-13 BRL 12,6195
2020-05-13 HUF 22,6658
2020-05-13 HKD 94,7444
2020-05-13 DKK 10,6541
2020-05-13 USD 73,4326
2020-05-13 EUR 79,4394
2020-05-13 INR 97,2540
2020-05-13 KZT 17,4648
2020-05-13 CAD 52,4144
2020-05-13 KGS 94,1115
2020-05-13 CNY 10,3576
2020-05-13 MDL 40,8640
2020-05-13 NOK 71,5222
2020-05-13 PLN 17,4383
2020-05-13 RON 16,4507
2020-05-13 XDR 99,9293
2020-05-13 SGD 51,8080
2020-05-13 TJS 71,5369
2020-05-13 TRY 10,4465
2020-05-13 TMT 21,0108
2020-05-13 UZS 72,5690
2020-05-13 UAH 27,3938
2020-05-13 CZK 28,8843
2020-05-13 SEK 74,7581
2020-05-13 CHF 75,5479
2020-05-13 ZAR 39,8462
2020-05-13 KRW 59,9655
2020-05-13 JPY 68,3126
2020-05-14 AUD 47,7252
2020-05-14 AZN 43,0102
2020-05-14 GBP 90,3144
2020-05-14 AMD 15,0783
2020-05-14 BYN 30,0653
2020-05-14 BGN 40,7769
2020-05-14 BRL 12,5005
2020-05-14 HUF 22,5739
2020-05-14 HKD 94,9370
2020-05-14 DKK 10,6980
2020-05-14 USD 73,5819
2020-05-14 EUR 79,7775
2020-05-14 INR 97,5047
